# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
10289.1000 M73 151 5 8105.1000 p18 c53 164 N p18->p28->c59->c47->c49->c53
10334.0000 M264 161 6 2498.0000 p14 p6 258 N p14->p32->p28->c59->c41->c47->p6
10334.2000 M257 100 3 2695.2000 c46 p6 255 N c46->p33->c47->p6
10349.5000 M344 139 2 141.5000 c43 c41 297 N c43->c56->c41
10360.7000 M139 146 2 6223.7000 p14 p10 196 N p14->p28->p10
10360.9000 M290 135 2 1779.9000 p32 p10 270 N p32->p28->p10
10361.2000 M207 199 8 4208.2000 c59 p10 229 N c59->c48->c44->p12->p3->p32->p14->p28->p10
10366.4000 M244 182 6 3118.4000 p21 c52 248 N p21->p34->c43->c58->c42->c54->c52
10379.2000 M184 176 3 4908.2000 p29 p0 218 N p29->p18->p8->p0
10382.4000 M182 119 7 4961.4000 p25 c45 217 N p25->p18->p5->p28->c59->c41->c47->c45
10429.5000 M323 173 4 866.5000 p39 t61 285 N p39->p7->c56->c53->t61
10490.1000 M224 160 6 3833.1000 p32 p27 236 N p32->c45->c55->c41->c56->c50->p27
10490.4000 M127 187 7 6697.4000 p28 p27 188 N p28->p9->c53->c59->c43->c45->c50->p27
10490.6000 M229 108 2 3692.6000 p7 p27 238 N p7->c50->p27
10574.2000 M269 133 4 2595.2000 c45 p18 256 N c45->c50->t60->t61->p18
10585.6000 M78 199 4 8251.6000 p18 c52 162 N p18->p28->c59->c41->c52
10655.7000 M301 133 6 1742.7000 p18 p22 270 N p18->p28->c44->c46->c42->c43->p22
10717.8000 M178 166 7 5414.8000 p29 p4 209 N p29->p18->p28->c59->p7->p38->t61->p4
10718.0000 M306 131 3 1654.0000 c59 p4 272 N c59->p2->t61->p4
10718.3000 M235 157 3 3746.3000 p7 p4 237 N p7->p28->t61->p4
10726.1000 M240 187 4 3595.1000 p31 p20 240 N p31->c43->p2->t61->p20
10730.0000 M251 162 2 3273.0000 p34 p15 245 N p34->p21->p15
10787.3000 M209 114 5 4583.3000 p24 p29 223 N p24->c47->c53->c57->p31->p29
10836.9000 M349 190 2 482.9000 c54 p11 291 N c54->c55->p11
10855.9000 M321 107 1 1355.9000 p38 p23 277 N p38->p23
10875.0000 M307 189 4 1780.0000 p30 p31 270 N p30->c41->c40->c50->p31
10875.2000 M308 117 5 1753.2000 t61 p31 270 N t61->c42->c58->c49->c50->p31
10943.7000 M248 161 4 3569.7000 p6 p32 240 N p6->p39->p7->p38->p32
11004.6000 M352 154 4 558.6000 p7 p10 290 N p7->c45->p2->p18->p10
11016.7000 M333 147 6 1147.7000 p9 p8 280 N p9->c40->c49->c53->c56->p30->p8
11017.0000 M328 190 3 1295.0000 c50 p8 278 N c50->c53->p30->p8
11056.8000 M347 112 3 764.8000 p11 c54 287 N p11->c49->c55->c54
11142.6000 M345 112 2 904.6000 p19 c42 284 N p19->p5->c42
11147.0000 M359 154 2 501.0000 c55 p18 291 N c55->c49->p18
11147.2000 M313 125 2 1871.2000 p14 c49 268 N p14->p18->c49
11253.1000 M324 188 3 1657.1000 p5 p38 272 N p5->c42->t61->p38
11421.1000 M272 134 5 3355.1000 p29 c48 244 N p29->p31->c50->c43->c47->c48
11531.1000 M334 132 2 1630.1000 c43 p21 272 N c43->p3->p21
11531.3000 M325 112 1 1908.3000 p21 p3 268 N p21->p3
11578.6000 M367 133 3 691.6000 c40 p38 288 N c40->c46->c55->p38
11609.7000 M302 166 3 2671.7000 p10 p31 255 N p10->c48->c53->p31
11625.3000 M336 188 3 1667.3000 p18 c46 272 N p18->c49->c50->c46
11649.6000 M390 118 2 78.6000 c41 c51 298 N c41->c49->c51
11672.7000 M293 139 5 3006.7000 c51 p26 249 N c51->p30->c59->p38->t61->p26
11673.0000 M282 163 2 3327.0000 c53 p26 244 N c53->t61->p26
11754.0000 M338 182 6 1729.0000 p17 p35 271 N p17->t60->p38->p32->c42->c56->p35
11784.7000 M361 101 6 1076.7000 p4 c48 282 N p4->p20->t60->c42->c49->c51->c48
11888.8000 M398 134 1 85.8000 c43 c40 298 N c43->c40
11896.7000 M392 139 4 264.7000 c57 p19 295 N c57->c56->c55->c58->p19
11925.5000 M360 162 3 1247.5000 p33 c58 279 N p33->p26->t61->c58
11925.7000 M371 132 3 919.7000 p1 c58 284 N p1->p26->t61->c58
11935.0000 M374 177 5 828.0000 c46 p10 286 N c46->c54->c58->c47->c59->p10
11935.3000 M396 181 3 191.3000 c55 p10 296 N c55->c47->c59->p10
12042.7000 M327 199 3 2354.7000 p29 t60 260 N p29->p31->c58->t60
12078.0000 M311 122 4 2862.0000 c53 p0 252 N c53->c41->p28->p13->p0
12078.2000 M287 107 5 3585.2000 c55 p0 240 N c55->c43->c48->p38->p13->p0
12078.4000 M259 106 6 4380.4000 c47 p0 226 N c47->c58->p33->c54->p38->p13->p0
12078.7000 M297 163 5 3291.7000 p11 p0 245 N p11->c41->c47->p38->p13->p0
12138.1000 M400 131 2 277.1000 c53 c51 295 N c53->c40->c51
12189.8000 M266 102 6 4300.8000 p6 p17 228 N p6->p21->p34->c43->c53->t61->p17
12214.1000 M330 117 1 2437.1000 p37 p10 259 N p37->p10
12214.4000 M309 147 4 3060.4000 p32 p37 248 N p32->p19->p5->p10->p37
12293.0000 M393 125 2 628.0000 c40 c45 289 N c40->c50->c45
12399.6000 M246 191 3 5083.6000 c58 p14 215 N c58->c59->p35->p14
12410.2000 M350 199 6 2023.2000 p33 c43 266 N p33->p26->t60->c58->c47->c51->c43
12420.4000 M391 166 3 815.4000 p35 p34 286 N p35->p39->p38->p34
12473.1000 M357 108 2 1883.1000 p38 p25 268 N p38->t61->p25
12473.4000 M19 140 4 11916.4000 p35 p25 101 N p35->p20->t60->t61->p25
12473.7000 M101 179 2 9449.7000 t60 p25 142 N t60->t61->p25
12545.7000 M385 185 4 1119.7000 p19 p37 281 N p19->c58->c47->c49->p37
12551.5000 M408 107 5 460.5000 c53 c50 292 N c53->c40->c51->p31->c58->c50
12607.7000 M363 101 8 1841.7000 p33 p18 269 N p33->p26->t60->c58->c47->c51->c53->c55->p18
12623.2000 M160 189 1 7864.2000 p37 p34 168 N p37->p34
12641.1000 M128 170 2 8823.1000 p37 c52 152 N p37->c49->c52
12663.6000 M414 158 2 402.6000 c47 c44 293 N c47->c58->c44
12688.3000 M362 116 2 1955.3000 p9 p24 267 N p9->p36->p24
12726.0000 M419 172 4 324.0000 c53 c41 294 N c53->c54->c51->c59->c41
12726.3000 M377 138 7 1533.3000 p39 c41 274 N p39->c53->c40->p5->c56->c57->c59->c41
12730.8000 M369 122 4 1783.8000 p19 c51 270 N p19->c44->c50->c43->c51
12731.0000 M163 122 2 7879.0000 p37 c59 168 N p37->c43->c59
12872.8000 M417 136 1 526.8000 p22 p15 291 N p22->p15
12907.4000 M185 170 2 7407.4000 p37 c48 176 N p37->c49->c48
12962.8000 M340 129 3 2878.8000 p37 c42 252 N p37->c49->c57->c42
12963.0000 M111 132 3 9642.0000 p37 c42 139 N p37->c49->c57->c42
12989.9000 M319 167 3 3550.9000 c48 p14 240 N c48->c46->c55->p14
12995.0000 M426 142 1 379.0000 p17 t60 293 N p17->t60
13005.5000 M403 191 3 1062.5000 p21 c46 282 N p21->p3->c55->c46
